Decade	Quarters	Pennies	Dimes	Nickles
1910	0	0	0	0
1920	0	0	0	0
1930	0	0	0	0
1940	0	0	0	0
1950	0	3	0	0
1960	7	10	4	0
1970	13	35	15	2
1980	26	44	27	10
1990	23	39	13	14
2000	50	35	23	6
2010	9	72	36	14

